Yale B	Hart House A	UT Mara A	Harvard A
Akita A	Hawaii A	Montréal A	Cornell A
Duke A	Belgrade B	Cape Town A	Sheffield A
Glasgow B	Vienna A	Stockholm B	St Petersburg SEU A
FSU Jena A	Imperial A	Chicago A	Muenster A
Beijing FSU A	Free State A	Malaya B	Fordham B
Western Ontario A	UC London A	Middlebury A	Ben-Gurion A
Yale C	Ben-Gurion B	Columbia B	Ateneo A
Boston A	Keio A	Alberta A	UCC Philosoph A
Ottawa A	Bates A	UT Sydney A	Western Australia A
Karachi A	Berlin B	IBA Dhaka B	Bates C
Vassar A	Belgrade C	Macquarie B	NU Singapore A
US Air Force A	Amherst B	Ottawa B	Macquarie A
Waseda A	Babeș-Bolyai A	Inner Temple A	Deree A
Kutafin MSLU A	OpenU A	Jyväskylä A	Dalhousie A
Nanyang TU A	Northwest (USA) A	Yonsei Underwood A	Bard A
Otago C	Indonesia B	New South Wales C	Asia Pacific A
Claremont A	York A	Colgate A	Clemson A
British Columbia B	Ljubljana A	Ewha A	UCC Law A
BiTS Iserlohn A	Autónomo México A	La Verne A	Nazarbayev A
Southern Illinois B	Athens A	Warwick B	Utrecht A
Berlin A	Groningen A	McGill B	UCD Law B
BRAC A	Tartu A	IIT Bombay B	TCD Hist B
Seoul B	IIM Ahmedabad A	Osaka A	UC Roosevelt A
ITESM CSF A	Lancaster A	Melbourne B	Romanian-American A
North West (RSA) A	MGIMO (Moscow) A	Aberdeen A	SolBridge A
Malaya A	Hanyang A	Australian Natl B	NU Singapore B
Tokyo IT B	Babeș-Bolyai B	Lund B	Harvard C
UMF Iuliu Hațieganu A	Megatrend A	Haifa B	Atma Jaya A
Independent Bangladesh A	TU Dresden A	Duke B	CU Hong Kong B
Kyoto A	Canterbury A	Tokyo IT A	Midlands State A
Cologne A	Erasmus A	UC London B	De La Salle B
SSE Riga A	UT Cluj-Napoca A	TEC Mexico A	IUT B
Coimbra A	PUCP Perú A	Macau A	Tsinghua A
Warwick A	Brandeis B	Ghulam Ishaq Khan A	Sogang A
NUI Galway A	Morehouse A	Porto A	King's London B
Laurier A	Hull A	Nth British Columbia A	Bangladesh UET B
Canterbury B	IDC Herzliya A	Athens UEB A	CityU Hong Kong A
Munich A	IDC Herzliya Recanati B	Lund A	Hong Kong UST A
Santa María La Antigua A	Regis A	Binus Intl A	Nazarbayev B
Moscow IPT A	Morehouse B	IUT A	Curtin Sarawak A
Aberystwyth A	Nacl Colombia A	CMU Qatar B	Texas A&M Qatar A
Midlands State B	Odessa NU A	ASE Bucharest A	Aoyama A
Weill Cornell Qatar B	Porto B	Peking A	IDC Herzliya B
Hong Kong UST B	Willamette A	Montréal B	Padjadjaran A
Wageningen A	IBA Karachi A	Birmingham A	Tokyo A
Chittagong A	Yaroslav Mudryi NLU A	Intl Christian A	Intl Christian B
COMAS A	UWI Mona A	CU Hong Kong A	COSTAATT A
Göttingen A	Sophia A	PS Bucharest A	Fudan A
Kapitza A	CMU Qatar A	Extremadura A	Lisbon A
Mumbai A	Bogazici A	BRAC B	Weill Cornell Qatar A
Zagreb Law A	UMF Carol Davila A	Kathmandu A	KIMEP A
Pacific A	NYU Shanghai A	NE Qinhuangdao A	Paris Tech A
Kiel A	Cologne B	China Petroleum A	Ghulam Ishaq Khan B
Haifa A	United Intl A	Splitska A	SOAS London A
PUCP Perú B	UWI Mona B	Westminster A	Tribhuvan A
Nagoya A	Nottingham Ningbo A	Ewha B	Central de Venezuela A
UT Jamaica A	Hitotsubashi A	Ginling A	UT Jamaica B
Zagreb A	Moscow State A	Turku A	Al. I. Cuza A
Muenster B	Warsaw A	Galatasaray A	Moscow IPT B
Swing B	Bielefeld A	Otgontenger A	UWI Western Jamaica A
Macedonia A	Yogyakarta State A	Swing A	Uniciencia A
