ENL	ESL	EFL	Team	Team Points	Speaker Points	#1	#2	#3	#4	#5	#6	#7	#8	#9
56			PENN B	17	1403	2	1	0	3	3	1	1	3	3
57			CARLETON B	17	1401	2	2	0	2	3	2	2	3	1
58			UCD LAW A	17	1399	1	1	3	0	3	2	1	3	3
59			GUU B	17	1395	2	0	3	3	2	0	3	2	2
60			ALASKA A	16	1453	2	3	3	1	1	3	0	3	0
61	9		MUNICH A	16	1440	3	3	2	0	3	2	2	0	1
62			MACQUARIE A	16	1435	2	3	3	3	0	2	1	1	1
63			LSE B	16	1431	3	1	1	2	1	3	0	2	3
64			WILLIAM & MARY A	16	1427	2	2	1	1	2	2	2	3	1
65			TCD HIST A	16	1426	3	1	2	1	3	2	1	1	2
66			PENN A	16	1425	1	2	3	3	2	3	0	2	0
67			UQ A	16	1423	3	3	1	1	2	1	0	2	3
67	10		INDONESIA A	16	1423	1	3	1	3	3	3	0	1	1
69	11		MONTREAL A	16	1422	2	3	1	2	1	3	2	2	0
69			PRINCETON B	16	1422	3	3	0	0	2	2	3	2	1
71	12		UFS A	16	1421	1	1	3	2	3	3	0	1	2
72			ALASKA B	16	1416	3	0	3	0	3	2	2	3	0
73			DURHAM B	16	1414	2	3	1	3	0	1	3	1	2
73			STANFORD D	16	1414	2	2	3	0	0	2	3	2	2
75	13		UMAC A	16	1412	1	1	3	3	1	1	1	2	3
76	14	1	UGM A	16	1409	3	1	2	2	0	3	1	3	1
77	15		VIENNA A	16	1407	2	3	0	3	0	0	3	3	2
78			MOREHOUSE A	16	1405	3	1	1	2	3	0	0	3	3
79			UADS B	16	1404	0	3	3	3	0	1	1	2	3
79			NUS A	16	1404	3	0	2	0	1	3	3	3	1
81	16	2	BELGRADE A	16	1402	1	2	3	1	0	3	3	0	3
82			UWO A	16	1399	2	2	1	1	3	3	0	1	3
83			GUU C	16	1392	1	2	3	0	3	0	2	3	2
84			ROCHESTER A	16	1391	1	3	1	1	3	3	2	0	2
85			BATES B	16	1376	0	3	3	1	1	1	1	3	3
86			BERKELEY A	15	1443	3	2	3	0	1	2	1	2	1
87			UOW A	15	1436	2	3	3	1	0	3	0	1	2
88			STANFORD B	15	1433	3	2	3	2	0	1	1	0	3
89			GW A	15	1432	3	2	0	3	3	3	1	0	0
90			HART HOUSE C	15	1415	2	2	0	2	1	3	1	3	1
91	17		OXFORD D	15	1413	1	3	0	2	3	0	3	3	0
92			BATES A	15	1412	0	3	2	1	0	3	3	2	1
93			SWARTHMORE B	15	1411	2	2	2	0	0	3	1	3	2
93	18		CORRIENTE A	15	1411	3	2	1	2	1	1	2	3	0
95			UTS A	15	1409	3	1	2	1	3	1	3	1	0
96			ALASKA C	15	1406	1	3	0	3	2	2	1	0	3
96			ST ANDREWS A	15	1406	3	2	2	0	1	2	0	2	3
98			WARWICK A	15	1405	3	0	3	1	3	0	2	3	0
99			SWARTHMORE C	15	1403	3	0	2	3	3	0	1	3	0
100	19	3	BERLIN A	15	1402	3	3	0	2	0	3	3	1	0
101			UCL A	15	1400	2	3	1	0	3	1	3	0	2
102			AU A	15	1399	2	1	3	2	0	0	2	3	2
102	20		SOLBRIDGE A	15	1399	3	1	1	1	3	0	1	2	3
104			STANFORD E	15	1398	2	3	0	3	0	2	0	2	3
105			ST ANDREWS B	15	1396	3	1	1	2	1	3	0	1	3
106			CAMBRIDGE D	15	1395	3	0	1	3	2	3	0	2	1
107			UVA B	15	1393	2	2	0	1	3	2	2	0	3
108			HWS A	15	1392	0	3	2	1	3	0	0	3	3
109			TCD PHIL B	15	1391	2	3	0	1	2	2	2	1	2
110	21	4	COMILLAS A	15	1389	1	2	0	2	3	1	3	1	2
110			CUNY A	15	1389	3	1	3	0	2	3	0	2	1
112	22		NWU-PUKKE A	15	1387	0	3	1	2	2	3	3	0	1
113			NU B	15	1385	2	1	1	1	3	1	3	2	1
114			QUT A	15	1381	2	2	3	0	2	2	0	3	1
115	23		SUFE A	15	1374	1	0	2	1	3	0	2	3	3
116	24	5	ROSARIO A	15	1370	2	1	2	1	1	3	0	3	2
117			BROWN B	15	1346	3	3	0	2	0	1	2	2	2
118			BRANDEIS Z	15	1107	2	1	3	-		2	3	1	3
119			UCC PHIL A	14	1423	1	3	2	2	3	1	0	2	0
120			UNSW B	14	1420	2	3	1	3	1	1	0	1	2
121			EDINBURGH B	14	1416	3	2	0	1	1	2	2	2	1
122			HART HOUSE B	14	1415	3	2	2	1	2	2	1	0	1
123			NU A	14	1414	0	3	3	3	1	3	0	0	1
124	25		GUU A	14	1412	1	2	2	2	2	0	0	3	2
125			MDU A	14	1411	3	3	1	1	1	1	1	1	2
126			MONASH B	14	1409	2	0	2	3	2	2	1	0	2
127			CHICAGO A	14	1408	3	1	3	0	0	2	3	0	2
128			WITS A	14	1405	3	2	2	1	2	0	0	3	1
129			TCD HIST B	14	1402	1	3	0	2	1	1	3	3	0
130			MCGILL C	14	1401	2	1	0	3	3	1	1	3	0
130			DUKE A	14	1401	1	2	1	3	1	1	1	1	3
132			BARD A	14	1395	3	0	2	3	3	0	3	0	0
133			BRANDEIS X	14	1394	3	0	2	2	0	2	2	0	3
134			BERKELEY B	14	1392	1	3	1	0	2	2	2	2	1
134			VERMONT C	14	1392	2	2	1	2	0	3	2	1	1
136			CANTERBURY A	14	1387	2	1	1	3	1	2	1	1	2
136			UQ B	14	1387	1	1	2	3	2	0	1	2	2
138			UVA A	14	1386	3	0	3	1	2	2	3	0	0
139			BIRMINGHAM A	14	1385	1	2	0	1	3	3	2	2	0
140			AUCKLAND A	14	1384	3	0	1	2	2	2	3	1	0
140	26		HSE A	14	1384	3	2	0	0	2	3	3	1	0
142			MOREHOUSE C	14	1382	1	1	2	3	3	0	0	1	3
143			CHICAGO B	14	1379	0	3	0	3	1	0	3	1	3
144			DUKE B	14	1376	1	2	1	0	3	2	0	3	2
145			VERMONT A	14	1375	1	3	1	0	3	1	1	1	3
146	27	6	INDONESIA D	14	1372	2	0	1	3	0	1	3	3	1
147	28	7	ITS A	14	1366	1	3	2	0	0	3	3	0	2
147			CHICAGO C	14	1366	2	0	3	2	0	2	1	1	3
149	29	8	INDONESIA B	14	1365	1	3	0	1	3	1	1	1	3
149			STANFORD F	14	1365	1	1	3	3	1	0	2	0	3
151			ULV B	14	1364	2	0	1	2	2	0	1	3	3
152			WSDU A	14	1363	2	0	3	1	0	2	2	2	2
153	30		TEL AVIV D	14	1356	1	2	2	2	2	2	2	0	1
154	31		IIUM B	13	1424	2	1	3	2	2	0	2	1	0
155			MIDDLEBURY A	13	1412	3	2	1	2	2	2	1	0	0
156			DARTMOUTH A	13	1400	1	3	1	2	1	2	0	0	3
156			CORNELL D	13	1400	0	3	2	0	3	3	2	0	0
158	32		HELSINKI A	13	1398	3	3	0	0	1	3	2	1	0
159			UBC A	13	1393	2	2	3	0	1	1	2	1	1
160			QDU B	13	1390	3	1	2	3	0	3	0	1	0
161			DENVER A	13	1389	1	2	2	1	1	0	2	2	2
162			AU B	13	1386	3	1	1	0	0	3	1	2	2
163			DUKE C	13	1384	2	2	3	1	1	0	1	2	1
163			MCGILL B	13	1384	3	2	0	0	3	3	1	0	1
165	33		KOC A	13	1383	2	2	0	3	1	0	0	2	3
166			STANFORD G	13	1379	1	0	3	2	1	3	0	3	0
167			PRINCETON C	13	1378	3	0	0	3	3	1	2	0	1
168			QDU C	13	1375	2	1	3	3	1	1	0	2	0
169	34	9	BINUS A	13	1371	2	0	2	3	1	3	1	0	1
169	34		UT MARA A	13	1371	1	3	0	0	3	0	3	0	3
171			ULV A	13	1368	0	2	3	1	0	2	2	0	3
171			WATERLOO A	13	1368	1	2	0	3	0	1	2	3	1
173			MOREHOUSE B	13	1365	2	1	3	0	2	0	3	0	2
174			UBC B	13	1364	0	3	0	3	0	3	0	1	3
175	36	10	BEIHANG B	13	1360	3	0	1	2	1	0	1	3	2
176	37		VIENNA C	13	1359	1	0	2	1	3	1	2	3	0
177	38	11	ROSARIO B	13	1355	0	2	1	1	2	1	3	1	2
177	38	11	BELGRADE B	13	1355	0	1	1	3	2	1	2	2	1
179			F&M A	13	1352	2	1	1	3	0	1	1	3	1
180	40	13	TEC CEM A	13	1349	2	1	1	0	2	1	2	1	3
180	40	13	KNEU A	13	1349	3	0	1	1	2	3	1	2	0
182			DARTMOUTH B	13	1346	3	0	2	0	1	2	1	3	1
183			RRIS A	13	1344	0	1	3	1	1	3	2	0	2
184			UWI MONA A	13	1341	1	1	2	2	0	2	3	0	2
185			MIDDLEBURY B	13	1337	1	2	1	0	0	3	1	3	2
186	42	15	BEIHANG A	13	1326	0	2	2	1	0	1	3	1	3
187	43	16	WATSON A	13	1311	1	0	1	3	1	0	3	1	3
188			KINGS A	13	1231	2	0	3	2	2	2	0	0	2
189			SWING B	13	746				3	3		3	3	1
190			BATES D	13	692	0	2	3				3	3	2
191			CORNELL B	12	1391	3	1	2	1	1	1	1	2	0
192			UOW B	12	1387	3	1	2	1	0	1	2	0	2
193	44	17	INDONESIA C	12	1380	2	2	1	2	0	1	3	0	1
194			VASSAR A	12	1379	2	3	0	3	0	1	2	1	0
195			WILLAMETTE A	12	1377	2	0	1	2	3	3	0	0	1
196	45		PRINCETON D	12	1373	3	0	0	2	2	3	0	2	0
197			CAPE TOWN C	12	1371	0	3	2	0	2	2	2	1	0
198	46	18	KOREA A	12	1369	2	1	1	2	1	2	3	0	0
199	47	19	UNMALANG A	12	1366	1	0	3	3	0	1	3	1	0
200	48		ITAM A	12	1365	2	0	3	2	1	0	0	1	3
201			ANU B	12	1360	1	2	0	3	2	0	1	0	3
202			SNU B	12	1359	2	1	0	3	1	2	0	2	1
202	49		VIENNA B	12	1359	3	0	2	1	1	1	2	1	1
204			INNER TEMPLE A	12	1357	2	1	1	2	0	0	2	3	1
205			UTECH JAMAICA A	12	1354	0	1	2	2	0	2	3	0	2
206	50		MSU A	12	1352	3	0	2	2	0	1	1	2	1
207			WCM A	12	1351	0	2	3	0	0	3	0	2	2
208			HAWAII A	12	1348	0	1	2	2	1	2	1	3	0
209	51		UDLAP A	12	1342	0	1	0	3	2	0	1	2	3
210			ITAM B	12	1340	2	0	1	3	2	0	2	2	0
211			COLGATE CG	12	1339	1	2	1	1	1	2	3	1	0
212			ULV C	12	1336	0	1	3	1	2	0	3	1	1
213	52	20	LIBRE B	12	1334	1	1	2	0	3	3	0	0	2
214	53	21	ROSARIO C	12	1333	0	1	1	3	0	3	0	1	3
214	53		DLSU B	12	1333	2	1	0	2	1	3	1	0	2
216			DALHOUSIE A	12	1331	1	1	0	1	3	1	2	1	2
216	55	22	KYUSHU A	12	1331	0	0	3	0	3	0	0	3	3
218	56		ROCHESTER C	12	1324	1	2	1	2	1	0	2	0	3
218	56	23	KYOTO A	12	1324	0	0	2	0	1	3	3	1	2
220			COLGATE SM	12	1308	1	1	0	1	2	3	0	3	1
221	58		TSINGHUA A	12	1302	0	0	2	2	1	3	0	3	1
222			SWING A	12	891				3	2	3	1	0	3
223	59		VIENNA D	11	1373	1	2	0	1	2	2	2	0	1
224			UADS A	11	1363	2	1	2	0	0	0	3	0	3
225			STANFORD I	11	1361	1	3	0	3	0	1	0	1	2
226			VERMONT B	11	1354	1	3	0	1	3	0	2	1	0
227			COLGATE AF	11	1352	1	0	2	1	2	1	0	3	1
227			HAWAII B	11	1352	0	3	0	3	0	3	0	2	0
229			MCGILL D	11	1347	2	0	2	0	0	1	2	3	1
229			COLGATE MS	11	1347	1	1	1	1	1	3	0	0	3
231			UCC PHIL B	11	1346	1	0	2	2	1	1	1	1	2
232			MONASH C	11	1344	0	2	3	0	2	2	0	2	0
232			HWS B	11	1344	1	0	3	2	2	0	3	0	0
234	60	24	USFQ B	11	1342	0	3	0	1	0	2	3	2	0
235			AMHERST A	11	1339	1	1	2	3	0	2	0	0	2
236	61	25	DAV A	11	1331	1	0	2	1	1	1	2	2	1
237	62	26	BRAWIJAYA A	11	1329	2	2	0	1	0	2	1	2	1
238			NORTHWESTU A	11	1328	1	1	2	0	0	0	3	3	1
239	63		LAVAL A	11	1323	1	1	0	2	2	2	1	2	0
239	63	27	UFMG A	11	1323	0	1	1	1	3	0	2	0	3
239			UTECH JAMAICA B	11	1323	2	0	0	2	2	3	0	2	0
242			LUC A	11	1322	2	0	1	3	1	0	0	1	3
243			WCM B	11	1319	0	2	2	0	1	3	0	3	0
244	65	28	UCV A	11	1317	0	2	0	2	1	0	3	1	2
245			KINDAI A	11	1304	1	1	0	3	0	1	1	1	3
246	66		COMILLAS B	11	1298	0	2	1	0	0	2	2	2	2
247	67		MONTREAL B	11	1241	0	0	1	2	1	1	3	1	2
248			UCLA A	11	1197	2	0	0		2	3	2	1	1
249			LMU B	11	868	1	0	0	2	2	1	3	2	0
250			LINFIELD A	10	1343	0	1	2	1	3	1	0	1	1
251	68	29	SNU A	10	1342	0	0	3	2	0	1	0	2	2
252	69		UDES A	10	1341	1	0	3	0	0	3	2	0	1
253			FORDHAM B	10	1339	2	0	2	0	0	2	2	0	2
253	70		UBA A	10	1339	1	0	2	2	2	0	3	0	0
255	71		OPENU A	10	1337	1	1	1	2	2	1	1	1	0
256			UWI MONA B	10	1334	0	3	2	0	0	1	1	3	0
257			NORTHWESTU B	10	1330	1	0	1	3	0	0	0	2	3
257			UG A	10	1330	1	2	1	1	1	1	0	3	0
259	72	30	OSAKA A	10	1329	0	1	3	2	0	2	1	0	1
260			CANTERBURY B	10	1328	0	3	1	1	1	3	0	0	1
260	73		TEC CEM C	10	1328	0	0	3	2	1	1	3	0	0
262	74	31	TEC CEM B	10	1327	0	2	0	1	2	1	3	1	0
263			FORDHAM A	10	1324	0	2	1	0	2	2	0	2	1
264	75	32	CUPB A	10	1322	0	3	0	1	1	0	1	2	2
265			HKUST A	10	1320	0	2	0	1	3	1	2	0	1
266	76		ROCHESTER B	10	1317	0	2	0	2	2	0	2	2	0
267	77		TSINGHUA B	10	1312	1	0	0	2	0	3	1	3	0
268	78	33	UNAL B	10	1298	0	0	0	2	2	3	2	0	1
269			UFH A	10	1296	0	2	1	0	0	1	1	2	3
270	79	34	SPLIT A	10	1283	0	1	1	2	3	0	1	0	2
271	80	35	OSAKA B	10	1240	0	3	0	0	1	0	2	2	2
272			BATES C	10	1218	2	2	0	0	3	0	1	2
273			MCGILL A	10	780	3	1	3	1	0	2
274			STANFORD H	9	1338	1	1	0	1	1	3	0	2	0
275	81	36	UFM A	9	1326	1	0	0	3	1	2	1	0	1
276			WHEATON A	9	1321	0	0	1	3	0	2	0	0	3
277			UNIVERSITY X	9	1320	1	0	3	1	2	0	0	2	0
278			GUELPH A	9	1315	2	0	1	0	3	0	1	0	2
279	82	37	BIPEDS A	9	1313	0	1	1	1	0	2	1	3	0
280	83	38	SUFE B	9	1310	1	0	1	0	3	2	0	2	0
281			LMU A	9	1293	1	0	1	0	2	1	1	1	2
282	84	39	YOGYAKARTA A	9	1292	0	1	0	0	2	1	2	1	2
283			WSDU C	9	1290	0	3	0	0	1	2	0	3	0
284	85	40	UFRJ A	9	1289	0	0	2	0	3	0	0	3	1
285	86	41	UNAL A	9	1288	0	0	1	0	3	2	0	3	0
286	87	42	CHITTAGONG A	9	1286	0	1	0	2	1	1	2	1	1
287	88	43	USFQ A	9	1283	0	0	3	0	0	2	2	0	2
288			HSU B	9	1264	0	1	2	0	0	0	3	0	3
289	89	44	UOFK A	9	1262	0	1	1	0	0	2	3	1	1
290	90		PORTO A	9	1192	0	1	0	0	1	3	0	3	1
291			UVIC A	9	681	0	2	3	1	2	1
292			NUIG A	8	1357	0	3	3	0	0	0	1	0	1
293			WSDU B	8	1307	1	0	3	0	1	0	3	0	0
294	91		UNIANDES A	8	1304	1	1	0	3	0	1	2	0	0
295			UTECH JAMAICA C	8	1301	2	0	2	0	0	2	1	0	1
296	92	45	UNPAD A	8	1295	0	2	1	0	3	0	0	1	1
297	93		KATHMANDU A	8	1271	0	1	0	1	1	3	0	2	0
297	93	46	LIBRE A	8	1271	1	1	0	1	2	2	0	1	0
299			CUPB B	8	1269	0	0	2	0	0	1	0	3	2
300	95	47	CAU A	8	1264	0	3	0	0	1	1	2	1	0
301	96	48	IBERO LEON A	8	1257	0	0	0	3	1	0	1	0	3
302	97	49	UNAM FESC A	8	1253	0	1	0	1	3	2	0	1	0
303	98		TU A	7	1314	0	2	1	1	0	1	1	1	0
304	99		CMUQ A	7	1306	0	0	3	1	2	0	0	0	1
305			WHEATON B	7	1300	0	0	2	0	2	0	3	0	0
305	100	50	KHNUE A	7	1300	0	3	0	0	2	0	1	0	1
307			HSU A	7	1294	2	0	2	0	1	0	0	0	2
308			ITHACA A	6	1287	0	2	0	0	0	1	0	1	2
309			MIDDLEBURY C	6	1279	0	2	0	2	0	0	1	1	0
310			LINFIELD B	6	1255	0	0	1	1	1	0	0	2	1
311	101	51	BEIHANG C	6	1247	0	0	0	1	3	0	2	0	0
312	102	52	UCV B	6	1134	0	-	0	1	0	3	0	1	1
313			TEC CSF A	5	1236	0	0	1	0	1	0	1	2	0
314			SWING C	3	150									3
315	103		ITESM MRL A	2	1214	0	0	0	0	0	0	2	0	0
